aX,aY,aZ,gX,gY,gZ
-0.069,0.349,-0.808,0.061,-7.507,0.854
-0.053,0.340,-0.839,3.967,-3.906,0.488
-0.055,0.333,-0.885,5.798,-2.686,-0.305
-0.051,0.333,-0.932,6.714,-2.502,-0.916
-0.050,0.330,-0.973,6.897,-2.563,-1.770
-0.073,0.322,-0.995,5.493,-2.930,-2.441
-0.082,0.311,-1.016,3.540,-3.174,-1.221
-0.068,0.317,-1.000,0.488,-3.357,0.427
-0.069,0.332,-0.967,-2.502,-2.991,0.122
-0.051,0.333,-0.932,-2.747,-2.563,-0.732
-0.042,0.337,-0.928,-1.404,-3.784,-1.709
-0.061,0.337,-0.921,-0.244,-6.775,-2.808
-0.065,0.343,-0.900,0.061,-9.094,-3.662
-0.083,0.343,-0.906,1.526,-9.460,-4.028
-0.085,0.336,-0.919,2.380,-7.080,-4.211
-0.084,0.333,-0.938,2.014,-4.333,-3.357
-0.074,0.333,-0.942,0.610,-2.869,-2.014
-0.058,0.337,-0.939,-0.610,-2.502,-1.221
-0.059,0.343,-0.927,-1.526,-2.808,-1.221
-0.061,0.347,-0.916,-1.892,-3.967,-1.465
-0.066,0.348,-0.904,-1.648,-5.676,-1.465
-0.065,0.349,-0.904,-0.793,-6.409,-1.831
-0.066,0.341,-0.907,0.549,-6.409,-2.319
-0.079,0.342,-0.898,1.160,-5.981,-3.174
-0.076,0.337,-0.901,0.916,-4.578,-1.526
-0.072,0.320,-0.922,1.404,-3.174,-1.465
-0.059,0.345,-0.910,-0.977,-2.258,-3.113
-0.062,0.370,-0.910,-0.549,-3.906,-1.587
-0.054,0.339,-0.915,2.136,-5.859,-0.916
-0.052,0.347,-0.919,1.953,-5.493,-1.648
-0.047,0.345,-0.934,2.563,-4.333,-1.648
-0.039,0.338,-0.932,2.686,-3.784,-2.075
-0.053,0.347,-0.915,1.892,-4.089,-3.235
-0.061,0.345,-0.917,2.625,-5.005,-3.540
-0.054,0.345,-0.932,2.625,-5.371,-3.113
-0.054,0.354,-0.926,1.587,-5.249,-3.357
-0.066,0.348,-0.926,1.282,-6.226,-3.601
-0.064,0.345,-0.927,0.916,-7.507,-2.808
-0.070,0.344,-0.911,0.549,-8.179,-2.441
-0.065,0.343,-0.905,1.648,-7.568,-2.380
-0.056,0.354,-0.918,3.174,-7.324,-2.808
-0.060,0.346,-0.931,4.272,-7.690,-3.540
-0.067,0.336,-0.942,4.517,-6.775,-4.578
-0.063,0.339,-0.953,3.906,-4.028,-5.371
-0.061,0.336,-0.945,2.258,-2.686,-5.798
-0.070,0.346,-0.925,0.671,-3.906,-5.554
-0.072,0.352,-0.908,0.061,-5.493,-4.761
-0.073,0.354,-0.918,1.282,-5.310,-4.456
-0.077,0.355,-0.920,1.709,-4.272,-4.578
-0.080,0.356,-0.902,1.099,-4.883,-4.456
-0.083,0.355,-0.904,1.526,-6.958,-4.272
-0.075,0.356,-0.923,2.686,-7.690,-3.967
-0.068,0.347,-0.941,3.296,-6.836,-4.150
-0.077,0.334,-0.955,2.991,-5.920,-4.700
-0.076,0.347,-0.952,1.282,-5.066,-4.822
-0.077,0.352,-0.954,0.488,-5.310,-4.883
-0.087,0.341,-0.948,0.244,-6.287,-5.066
-0.101,0.346,-0.914,-1.343,-7.019,-4.456
-0.091,0.352,-0.897,-1.404,-5.981,-3.601
-0.080,0.351,-0.899,0.183,-3.235,-3.479
-0.074,0.353,-0.919,1.587,-1.465,-3.845
-0.075,0.347,-0.923,2.380,-1.953,-3.784
-0.083,0.352,-0.923,2.136,-4.150,-3.784

0.176,0.190,-2.486,301.208,25.574,84.717
0.289,0.278,-2.517,268.616,10.437,72.693
0.314,0.327,-2.496,239.746,5.554,58.594
0.397,0.354,-2.385,213.745,2.441,43.701
0.420,0.342,-2.292,188.721,-14.160,35.950
0.244,0.381,-2.137,164.734,-39.612,28.259
0.187,0.381,-2.027,146.851,-52.917,28.442
0.210,0.327,-2.003,135.986,-45.410,31.738
0.221,0.323,-1.914,111.511,-28.015,22.705
0.197,0.335,-1.715,83.557,-17.395,9.583
0.187,0.371,-1.458,63.904,-22.461,-0.610
0.155,0.456,-1.147,54.871,-39.185,-11.108
0.051,0.486,-0.905,48.401,-55.176,-13.062
-0.048,0.478,-0.794,46.021,-53.101,-9.583
-0.012,0.487,-0.568,43.396,-26.550,-1.709
0.032,0.488,-0.443,46.204,-2.930,0.916
0.002,0.470,-0.374,55.237,3.052,-2.441
-0.059,0.443,-0.240,67.810,-4.211,-0.549
-0.081,0.405,-0.229,85.327,-15.015,0.488
-0.092,0.362,-0.349,104.431,-15.869,-0.977
-0.117,0.271,-0.569,110.046,-4.089,1.343
-0.017,0.220,-0.769,111.633,12.817,5.066
0.001,0.188,-0.873,109.863,17.883,3.357
-0.003,0.122,-0.952,106.323,7.263,1.404
0.003,0.098,-0.992,99.792,-0.305,2.014
0.069,0.139,-1.010,91.309,-1.892,1.526
0.083,0.159,-1.033,86.487,-3.662,0.244
0.044,0.180,-1.048,82.642,-8.118,-0.977
0.035,0.194,-1.078,78.003,-11.475,-0.244
-0.041,0.170,-1.084,76.721,-12.634,-1.160
-0.069,0.133,-1.175,76.721,-11.353,-0.793
-0.055,0.104,-1.335,76.904,-9.277,0.000
-0.099,0.085,-1.404,72.388,-10.071,-2.441
-0.146,0.100,-1.415,65.063,-15.564,-4.639
-0.152,0.068,-1.430,57.129,-18.372,-1.831
-0.158,0.076,-1.328,46.265,-13.184,1.160
-0.105,0.067,-1.293,38.025,-8.911,3.357
-0.019,0.104,-1.331,29.968,-5.981,3.479
-0.032,0.107,-1.296,22.949,-6.409,-0.610
-0.007,0.082,-1.265,17.700,-8.362,-3.296
-0.011,0.077,-1.240,13.855,-10.193,-7.629
-0.062,0.062,-1.242,11.230,-12.695,-10.498
-0.045,0.061,-1.258,6.836,-11.658,-8.484
-0.051,0.081,-1.216,-0.977,-9.644,-7.935
-0.054,0.092,-1.137,-8.423,-7.690,-7.629
-0.037,0.121,-1.018,-14.648,-5.371,-7.080
-0.046,0.135,-0.919,-16.846,-3.967,-6.714
-0.041,0.130,-0.855,-15.137,-1.221,-5.737
-0.052,0.130,-0.831,-10.681,1.587,-4.456
-0.022,0.103,-0.900,-5.554,0.671,-2.808
0.003,0.099,-0.940,-4.456,-0.366,-2.441
0.000,0.105,-0.934,-5.798,-0.610,-4.517
-0.001,0.089,-0.931,-5.859,-0.610,-6.348
0.008,0.103,-0.938,-5.554,-0.061,-8.057
-0.013,0.118,-0.911,-5.188,-1.038,-9.766
-0.040,0.122,-0.895,-3.357,-3.784,-9.888
-0.063,0.119,-0.930,-0.671,-4.822,-7.996
-0.057,0.117,-0.972,0.244,-3.540,-5.981
-0.043,0.109,-0.992,-0.732,-2.747,-5.005
-0.036,0.116,-0.999,-1.953,-2.502,-5.493
-0.030,0.107,-1.020,-2.502,-1.892,-6.409
-0.017,0.106,-1.041,-3.174,-0.916,-7.751
-0.028,0.113,-1.042,-4.272,-1.099,-9.399
-0.053,0.144,-0.991,-6.226,-2.319,-9.888
-0.050,0.151,-0.979,-5.859,-5.493,-8.240
-0.058,0.168,-0.973,-5.737,-5.859,-6.836
-0.067,0.177,-0.945,-5.554,-4.395,-6.653
-0.071,0.168,-0.950,-3.540,-4.700,-5.859
-0.068,0.145,-0.975,-1.953,-5.493,-4.272
-0.049,0.134,-0.976,-2.380,-4.150,-3.479
-0.029,0.133,-0.989,-3.052,-3.296,-3.845
-0.033,0.132,-0.986,-4.517,-3.357,-4.395
-0.039,0.143,-0.935,-6.714,-4.639,-4.578
-0.044,0.161,-0.921,-6.165,-5.981,-4.761
-0.055,0.165,-0.917,-3.906,-5.493,-4.456
-0.056,0.167,-0.913,-1.526,-5.493,-3.967
-0.044,0.145,-0.951,1.465,-5.920,-2.991
-0.024,0.145,-0.988,2.686,-4.700,-2.808
-0.029,0.144,-0.989,1.953,-3.540,-4.211
-0.042,0.146,-0.959,0.977,-3.906,-4.272
-0.041,0.158,-0.930,0.549,-4.761,-3.296
-0.043,0.153,-0.942,1.343,-5.371,-2.869
-0.041,0.156,-0.937,1.282,-4.150,-2.502
-0.045,0.161,-0.941,2.075,-3.540,-2.502
-0.027,0.151,-0.988,4.150,-4.089,-2.380
-0.028,0.151,-1.006,4.700,-4.639,-3.113
-0.036,0.150,-1.024,4.517,-5.798,-4.395
-0.033,0.141,-1.061,4.150,-6.592,-4.639
-0.039,0.137,-1.074,1.587,-5.066,-4.883
-0.026,0.144,-1.069,-1.831,-3.418,-5.310
-0.034,0.148,-1.033,-5.066,-3.418,-5.493
-0.036,0.151,-0.983,-6.409,-4.333,-5.188
-0.041,0.161,-0.929,-6.592,-5.798,-5.005
-0.052,0.168,-0.905,-4.700,-7.996,-4.639
-0.044,0.171,-0.911,-2.686,-7.935,-3.601
-0.035,0.170,-0.918,-1.038,-7.935,-3.357
-0.045,0.163,-0.930,0.366,-8.484,-3.784
-0.054,0.160,-0.934,1.160,-9.155,-3.418
-0.054,0.165,-0.933,1.648,-8.789,-2.563
-0.057,0.158,-0.935,2.319,-7.324,-2.136
-0.050,0.158,-0.955,2.869,-4.333,-2.075
-0.045,0.153,-0.992,3.601,-1.770,-2.380
-0.039,0.143,-1.031,3.723,-0.916,-2.747
-0.031,0.152,-1.034,2.258,-2.014,-3.052
-0.036,0.160,-1.008,0.732,-4.883,-3.540
-0.054,0.167,-0.964,-0.549,-7.996,-3.235
-0.059,0.178,-0.929,-1.038,-9.521,-2.258
-0.059,0.175,-0.926,-0.244,-8.362,-1.831
-0.060,0.171,-0.937,0.977,-3.723,-2.380
-0.060,0.165,-0.944,1.953,-0.671,-2.563
-0.045,0.167,-0.971,3.540,-1.709,-1.831
-0.026,0.165,-0.991,3.967,-3.784,-1.526
-0.024,0.168,-0.987,2.686,-4.028,-2.136
-0.021,0.162,-0.980,1.404,-4.578,-2.747
-0.033,0.158,-0.964,0.244,-5.981,-3.052
-0.032,0.151,-0.965,-0.061,-5.005,-3.784
-0.023,0.149,-0.975,0.488,-1.404,-4.639
-0.032,0.152,-0.985,1.526,-0.305,-5.371
-0.035,0.149,-1.001,2.197,-2.563,-4.822

0.614,0.632,-1.303,182.922,-34.912,99.976
0.549,0.655,-1.203,167.236,-53.345,83.374
0.500,0.576,-1.279,164.795,-56.519,71.838
0.501,0.541,-1.220,156.616,-39.063,65.918
0.553,0.648,-1.113,144.775,-11.963,59.814
0.644,0.641,-1.049,147.400,1.099,56.519
0.736,0.570,-1.051,156.372,-10.010,49.805
0.599,0.519,-1.044,156.494,-41.260,34.973
0.413,0.447,-1.000,144.531,-74.463,23.926
0.113,0.471,-0.623,114.441,-86.731,15.320
-0.128,0.568,-0.215,97.839,-82.642,3.418
-0.264,0.604,-0.026,112.366,-57.739,11.536
-0.171,0.535,-0.125,144.653,-32.104,30.334
-0.042,0.471,-0.399,178.345,-21.301,47.668
0.064,0.354,-0.816,202.515,-22.583,60.974
0.282,0.286,-1.233,207.886,-22.400,68.909
0.423,0.188,-1.672,195.679,-13.550,63.477
0.613,0.144,-1.885,163.696,-3.967,54.565
0.636,0.242,-1.752,119.873,-11.536,39.246
0.586,0.279,-1.588,92.041,-39.368,22.888
0.490,0.322,-1.378,77.271,-57.129,10.864
0.445,0.411,-1.171,77.332,-56.213,1.770
0.344,0.420,-1.108,80.811,-44.434,-2.197
0.235,0.373,-1.162,81.848,-33.691,-0.122
0.247,0.372,-1.107,76.355,-23.743,5.493
0.136,0.453,-1.038,72.998,-20.996,3.174
0.088,0.424,-1.026,65.063,-27.527,0.916
0.046,0.395,-1.023,57.129,-29.602,4.272
0.027,0.382,-1.013,51.880,-30.701,7.507
0.054,0.353,-1.049,47.668,-30.701,11.597
0.122,0.304,-1.128,45.288,-24.414,15.381
0.191,0.238,-1.235,41.870,-13.733,16.113
0.270,0.190,-1.336,34.241,-3.906,15.442
0.328,0.163,-1.405,28.259,1.282,11.169
0.333,0.154,-1.379,16.174,-0.671,4.028
0.308,0.205,-1.264,1.038,-6.348,-4.700
0.242,0.248,-1.105,-8.301,-11.292,-12.085
0.164,0.282,-0.978,-10.803,-14.648,-14.832
0.101,0.321,-0.882,-9.705,-16.479,-12.268
0.103,0.334,-0.851,-7.690,-16.113,-7.385
0.123,0.327,-0.873,-4.883,-10.132,-3.235
0.157,0.315,-0.902,-3.906,-0.549,-1.404
0.192,0.298,-0.938,-3.723,5.676,-0.549
0.225,0.274,-0.962,-4.395,5.371,-1.160
0.234,0.287,-0.957,-6.287,2.930,-3.540
0.200,0.283,-0.927,-7.324,-0.244,-6.348
0.178,0.276,-0.895,-7.080,-1.099,-7.324
0.174,0.279,-0.886,-6.042,-0.061,-7.080
0.175,0.261,-0.925,-3.479,0.977,-6.104
0.197,0.253,-0.982,-2.502,2.502,-4.517
0.217,0.262,-1.019,-3.845,2.930,-4.211
0.202,0.260,-1.030,-6.165,1.465,-6.409
0.164,0.280,-0.985,-10.803,-0.610,-8.484
0.159,0.312,-0.922,-14.771,-2.380,-9.399
0.148,0.332,-0.872,-15.198,-3.662,-9.705
0.123,0.337,-0.839,-13.245,-4.944,-9.521
0.143,0.352,-0.832,-10.071,-4.761,-7.935
0.158,0.361,-0.837,-6.104,-3.174,-6.897
0.160,0.346,-0.885,-1.160,-2.258,-7.263
0.188,0.334,-0.944,2.319,-1.770,-6.836
0.193,0.334,-0.958,3.113,-2.258,-7.690
0.161,0.331,-0.964,2.075,-6.287,-9.888
0.128,0.317,-0.959,0.000,-9.155,-10.376
0.117,0.327,-0.945,-2.075,-8.545,-8.911
0.112,0.319,-0.942,-2.930,-6.287,-7.568
0.129,0.310,-0.967,-2.197,-3.418,-5.310
0.162,0.309,-0.976,-1.953,-1.831,-3.601
0.173,0.311,-0.968,-2.380,-2.686,-3.967
0.171,0.325,-0.929,-4.578,-4.456,-5.127
0.158,0.339,-0.879,-5.859,-5.615,-6.409
0.144,0.349,-0.840,-5.188,-6.653,-6.775
0.123,0.359,-0.809,-3.662,-7.690,-6.042
0.129,0.357,-0.826,-0.488,-6.897,-4.456
0.134,0.349,-0.854,2.563,-3.723,-3.113
0.140,0.339,-0.884,4.456,-2.747,-2.380
0.157,0.334,-0.924,5.615,-4.028,-1.770
0.162,0.320,-0.947,5.615,-4.211,-1.648
0.169,0.311,-0.960,4.456,-3.235,-1.343
0.193,0.314,-0.949,2.869,-2.502,-1.404
0.194,0.323,-0.928,1.465,-3.662,-2.380
0.192,0.325,-0.926,1.648,-5.188,-3.052
0.199,0.330,-0.933,1.648,-4.761,-3.540
0.200,0.332,-0.946,1.526,-4.150,-4.700
