aX,aY,aZ,gX,gY,gZ
-0.294,-0.017,0.957,2.380,-3.296,-0.671
-0.273,-0.006,0.919,3.052,-2.502,-1.892
-0.324,-0.028,0.935,2.136,-5.127,-4.395
-0.377,-0.037,0.961,-0.427,-6.897,-5.371
-0.375,-0.039,0.958,-0.793,-6.348,-5.249
-0.353,-0.035,0.968,-2.197,-5.371,-4.517
-0.324,-0.036,0.996,-2.930,-5.676,-3.784
-0.304,-0.028,1.018,-2.869,-5.493,-3.540
-0.315,-0.026,1.042,-2.014,-4.089,-3.540
-0.347,-0.032,1.043,-0.305,-4.089,-3.418
-0.377,-0.039,1.033,1.648,-6.836,-3.418
-0.373,-0.025,1.021,2.747,-9.033,-2.625
-0.321,-0.013,0.978,3.967,-6.531,-1.404
-0.284,-0.020,0.945,4.639,-1.587,-1.343
-0.277,-0.018,0.947,3.235,0.549,-2.869
-0.290,-0.006,0.952,2.563,-1.221,-4.639
-0.330,-0.020,0.956,3.235,-3.113,-5.493
-0.342,-0.029,0.962,3.296,-3.052,-5.188
-0.338,-0.036,0.952,2.686,-2.014,-5.371
-0.321,-0.035,0.946,1.770,-1.221,-5.554
-0.300,-0.037,0.947,0.610,-1.404,-5.737
-0.329,-0.035,0.962,-0.183,-2.319,-6.653
-0.368,-0.034,0.972,0.305,-5.310,-6.653
-0.394,-0.039,0.964,1.709,-6.592,-5.615
-0.410,-0.041,0.972,2.869,-5.310,-4.456
-0.382,-0.030,0.959,3.662,-2.808,-2.563
-0.327,-0.022,0.969,4.272,-0.610,-0.732
-0.266,-0.010,0.975,4.822,-0.671,-0.061
-0.253,-0.013,0.955,5.188,-1.953,-1.099
-0.285,-0.018,0.954,4.333,-3.418,-2.930
-0.327,-0.018,0.962,3.357,-4.639,-4.150
-0.359,-0.020,0.959,3.235,-4.456,-4.578
-0.376,-0.019,0.951,2.747,-3.845,-4.456
-0.378,-0.011,0.953,1.831,-4.272,-3.845
-0.354,-0.008,0.967,1.221,-5.066,-3.174
-0.348,-0.016,0.986,0.793,-4.700,-3.052
-0.321,-0.002,0.991,0.061,-3.662,-3.235
-0.322,0.003,1.003,0.610,-3.418,-3.784
-0.322,-0.001,0.989,2.502,-4.089,-3.662

-0.968,-0.791,1.102,29.175,-26.978,16.357
-1.020,-0.806,1.123,43.274,-41.504,21.423
-1.050,-0.781,1.189,43.640,-47.119,32.776
-0.906,-0.722,1.186,53.223,-43.884,48.218
-0.755,-0.647,1.068,65.125,-31.616,58.716
-0.620,-0.572,0.946,72.205,-20.447,66.650
-0.506,-0.506,0.874,77.271,-18.433,75.928
-0.376,-0.440,0.815,81.909,-22.217,86.731
-0.150,-0.329,0.823,79.956,-26.123,94.299
-0.034,-0.202,0.781,72.021,-22.156,89.722
-0.023,-0.108,0.738,72.815,-15.686,80.933
-0.011,-0.021,0.722,71.655,-13.550,75.684
0.018,0.095,0.722,62.988,-14.648,73.120
0.005,0.237,0.764,55.542,-13.489,68.787
0.005,0.382,0.795,52.490,-11.658,65.613
0.074,0.499,0.814,46.753,-5.981,64.270
0.099,0.565,0.835,40.833,5.493,60.364
0.057,0.572,0.826,39.124,17.578,53.650
0.025,0.598,0.827,38.269,21.423,51.636
0.033,0.611,0.852,33.691,14.771,51.941
0.013,0.642,0.889,30.823,2.625,50.964
0.036,0.614,0.918,30.334,-8.301,50.110
0.010,0.617,0.902,28.137,-14.038,48.340
0.006,0.578,0.874,23.499,-13.184,46.814
-0.019,0.547,0.866,19.714,-8.911,43.518
-0.024,0.552,0.896,15.747,-4.700,40.527
-0.025,0.548,0.922,14.038,-0.305,38.696
0.014,0.550,0.931,13.184,4.944,38.025
0.067,0.560,0.940,11.841,9.827,35.645
0.077,0.547,0.946,11.414,10.376,30.334
0.062,0.521,0.953,10.010,6.836,24.963
0.014,0.500,0.941,6.897,1.892,20.081
